nom;latitude_mairie;longitude_mairie;beach_coordinates;latitude_plage;longitude_plage;station;latitude_gare;longitude_gare;latitude_port;longitude_port
Saint-Sorlin-de-Conac;45.364111;-0.678367;[];45.364111;-0.678367;[(None, None)];45.364111;-0.678367;45.328873;-0.71504
Saint-Thomas-de-Conac;45.3890404;-0.6872155;[];45.395165;-0.685952;[(None, None)];45.390434;-0.697661;;
Biguglia;42.62799;9.426993;[];42.627374;9.419315;[(Decimal('42.6202813'), Decimal('9.4376461')), (Decimal('42.6149413'), Decimal('9.4376789')), (Decimal('42.6287931'), Decimal('9.4407742')), (Decimal('42.5965026'), Decimal('9.4393246'))];42.615592;9.437756;42.593246;9.426922
Borgo;42.5366124;9.3820091;[];42.559499;9.42927;[(Decimal('42.5328351'), Decimal('9.4474124')), (Decimal('42.6202813'), Decimal('9.4376461')), (Decimal('42.5448840'), Decimal('9.4486466')), (Decimal('42.5627188'), Decimal('9.4466801')), (Decimal('42.6149413'), Decimal('9.4376789')), (Decimal('42.5218272'), Decimal('9.4410912')), (Decimal('42.6287931'), Decimal('9.4407742')), (Decimal('42.5847234'), Decimal('9.4415950')), (Decimal('42.3992635'), Decimal('12.8623289')), (Decimal('41.9023644'), Decimal('12.4603935')), (Decimal('42.5965026'), Decimal('9.4393246')), (Decimal('42.5764479'), Decimal('9.4443865')), (Decimal('42.5504894'), Decimal('9.4418644'))];42.562348;9.442257;42.559597;9.441483
Canale-di-Verde;42.2769615;9.4750187;[];42.261114;9.51534;[(None, None)];42.261114;9.51534;42.261114;9.51534
Furiani;42.658339;9.413806;[];42.658339;9.413806;[(Decimal('42.6515267'), Decimal('9.4411962')), (Decimal('42.6597171'), Decimal('9.4444398')), (Decimal('42.6454048'), Decimal('9.4419382'))];42.658339;9.413806;42.658339;9.413806
Lucciana;42.542645;9.497065;[];42.559273;9.527613;[(Decimal('42.5328351'), Decimal('9.4474124')), (Decimal('42.5448840'), Decimal('9.4486466')), (Decimal('42.5218272'), Decimal('9.4410912')), (Decimal('42.5504894'), Decimal('9.4418644'))];42.521703;9.440891;;
Poggio-Mezzana;42.4006905;9.4906717;[];42.401353;9.527596;[(None, None)];42.394025;9.496702;42.40953;9.531148
Talasani;42.4083318;9.4800358;[];42.40786;9.477586;[(None, None)];42.40786;9.477586;42.418882;9.528417
Anglade;45.2117734;-0.6369870;[];;;[(None, None)];;;;
Braud-et-Saint-Louis;;;[];;;[(None, None)];;;45.249499;-0.630177
Cambes;44.7324005;-0.4618761;[];;;[(None, None)];44.73198;-0.464459;44.731144;-0.463463
Camblanes-et-Meynac;44.764053;-0.481754;[];44.765138;-0.488672;[(None, None)];44.765928;-0.482387;44.771109;-0.507673
Caumont;44.6961182;-0.0075285;[];;;[(None, None)];;;;
Latresne;44.784809;-0.497058;[];44.791107;-0.495604;[(None, None)];;;44.78331;-0.514535
Saint-Androny;45.1901747;-0.6469716;[];45.180269;-0.656601;[(None, None)];;;45.230133;-0.67885
Saint-Ciers-sur-Gironde;45.2846292;-0.5620153;[];45.291639;-0.631137;[(None, None)];45.291861;-0.609715;;
Saint-Hippolyte;47.3439081;6.9942263;[];;;[(None, None)];;;;
Tabanac;;;[];44.72372;-0.40973;[(None, None)];;;44.70551;-0.432682
Tourne;;;[];;;[(None, None)];;;;
